type_chaussures,prix,adresse,image_lien,categorie
Baskets Dior b22,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5368328_uploaded_image1_1749575586.jpg,Chaussures Homme
Baskets Air Max scorpion,30 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5386909_uploaded_image1_1750612990.jpg,Chaussures Homme
Baskets Air force 1,16 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5386870_uploaded_image1_1750612086.jpg,Chaussures Homme
Chaussures Berluti,25 000,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400882_uploaded_image1_1751384100.jpg,Chaussures Homme
Chaussures homme,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5360036_uploaded_image1_1749037560.jpg,Chaussures Homme
Chaussures homme,27 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5360018_uploaded_image1_1749037245.jpg,Chaussures Homme
Chaussures Nike,28 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5367848_uploaded_image1_1749555791.jpg,Chaussures Homme
Chaussures Air Louis vuitton,20 000,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400189_uploaded_image1_1751368396.jpg,Chaussures Homme
Chaussures Air Jordan one low,17 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5376698_uploaded_image1_1750070197.jpg,Chaussures Homme
Chaussures Jordan 4,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5359849_uploaded_image1_1749031529.jpg,Chaussures Homme
Chaussures Nike Vomero,25 000,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400128_uploaded_image1_1751366626.jpg,Chaussures Homme
Air force 1,17 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5359697_uploaded_image1_1749024937.jpg,Chaussures Homme
Chaussures hommes,20 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399786_uploaded_image1_1751350901.jpg,Chaussures Homme
Sandales homme,10 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399783_uploaded_image1_1751350820.jpg,Chaussures Homme
Chaussures hommes,20 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399782_uploaded_image1_1751350706.jpg,Chaussures Homme
