web-scraper-order,web-scraper-start-url,V1_type_habits,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751544298-22","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements mixtes","9 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2167614_uploaded_image1_1590373799.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-23","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Boubou","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2167228_uploaded_image1_1590360726.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-24","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Blousons","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2165862_uploaded_image1_1590332506.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-25","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt en coton","2 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2162561_uploaded_image1_1590253411.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-26","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Bombers","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2162486_uploaded_image1_1590251707.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-27","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Chemise homme","6 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2161691_uploaded_image1_1590237191.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-28","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2160072_uploaded_image1_1590213270.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-29","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2160070_uploaded_image1_1590213237.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-30","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2160067_uploaded_image1_1590213207.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-31","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Sous vêtements","4 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159719_uploaded_image1_1590196007.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-32","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159652_uploaded_image1_1590193921.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-33","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159651_uploaded_image1_1590193885.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-34","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159649_uploaded_image1_1590193844.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-35","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159646_uploaded_image1_1590193811.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-36","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159644_uploaded_image1_1590193783.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-37","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159642_uploaded_image1_1590193753.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-38","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","8 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159636_uploaded_image1_1590193703.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-39","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons homme","8 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159634_uploaded_image2_1590193678.jpeg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-40","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons","8 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159632_uploaded_image1_1590193650.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-41","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159629_uploaded_image1_1590193622.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-42","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Vêtement Homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159625_uploaded_image1_1590193588.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-43","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Vêtements Hommes","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2159623_uploaded_image1_1590193564.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-44","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jean homme","9 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2159240_uploaded_image1_1590185382.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-45","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2157968_uploaded_image1_1590162412.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
